accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR9141424	SRP199742	new	PRJNA545266	SAMN11879949	FTO_2_A1	FLD0301	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0301.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0301.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141425	SRP199742	new	PRJNA545266	SAMN11879950	FTO_2_B1	FLD0302	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0302.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0302.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141430	SRP199742	new	PRJNA545266	SAMN11879951	FTO_2_C1	FLD0303	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0303.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0303.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141431	SRP199742	new	PRJNA545266	SAMN11879952	FTO_2_D1	FLD0304	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0304.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0304.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141428	SRP199742	new	PRJNA545266	SAMN11879953	FTO_2_E1	FLD0305	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0305.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0305.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141429	SRP199742	new	PRJNA545266	SAMN11879954	FTO_2_F1	FLD0306	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0306.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0306.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141434	SRP199742	new	PRJNA545266	SAMN11879955	FTO_2_A2	FLD0307	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0307.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0307.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141435	SRP199742	new	PRJNA545266	SAMN11879956	FTO_2_B2	FLD0308	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0308.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0308.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141459	SRP199742	new	PRJNA545266	SAMN11879957	FTO_2_C2	FLD0309	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0309.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0309.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141458	SRP199742	new	PRJNA545266	SAMN11879958	FTO_2_D2	FLD0310	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0310.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0310.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141457	SRP199742	new	PRJNA545266	SAMN11879959	FTO_2_E2	FLD0311	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0311.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0311.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141456	SRP199742	new	PRJNA545266	SAMN11879960	FTO_2_F2	FLD0312	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0312.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0312.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141463	SRP199742	new	PRJNA545266	SAMN11879961	FTO_3_A1	FLD0313	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0313.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0313.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141462	SRP199742	new	PRJNA545266	SAMN11879962	FTO_3_B1	FLD0314	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0314.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0314.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141461	SRP199742	new	PRJNA545266	SAMN11879963	FTO_3_C1	FLD0315	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0315.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0315.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141460	SRP199742	new	PRJNA545266	SAMN11879964	FTO_3_D1	FLD0316	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0316.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0316.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141453	SRP199742	new	PRJNA545266	SAMN11879965	FTO_3_E1	FLD0317	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0317.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0317.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141452	SRP199742	new	PRJNA545266	SAMN11879966	FTO_3_F1	FLD0318	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0318.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0318.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141471	SRP199742	new	PRJNA545266	SAMN11879967	FTO_3_A2	FLD0319	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0319.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0319.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141447	SRP199742	new	PRJNA545266	SAMN11879968	FTO_3_B2	FLD0320	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0320.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0320.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141420	SRP199742	new	PRJNA545266	SAMN11879969	FTO_3_C2	FLD0321	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0321.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0321.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141423	SRP199742	new	PRJNA545266	SAMN11879970	FTO_3_D2	FLD0322	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0322.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0322.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141464	SRP199742	new	PRJNA545266	SAMN11879971	FTO_3_E2	FLD0323	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0323.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0323.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141465	SRP199742	new	PRJNA545266	SAMN11879972	FTO_3_F2	FLD0324	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0324.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0324.000000000-BJWVR.s_1.r_2.fq.gz				
SRR9141467	SRP199742	new	PRJNA545266	SAMN11879973	2_1	FLD0193	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0193.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0193.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141468	SRP199742	new	PRJNA545266	SAMN11879974	2_2	FLD0194	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0194.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0194.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141436	SRP199742	new	PRJNA545266	SAMN11879975	2_3	FLD0195	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0195.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0195.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141437	SRP199742	new	PRJNA545266	SAMN11879976	2_4	FLD0196	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0196.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0196.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141446	SRP199742	new	PRJNA545266	SAMN11879977	2_13	FLD0205	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0205.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0205.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141444	SRP199742	new	PRJNA545266	SAMN11879978	2_14	FLD0206	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0206.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0206.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141449	SRP199742	new	PRJNA545266	SAMN11879979	2_15	FLD0207	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0207.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0207.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141448	SRP199742	new	PRJNA545266	SAMN11879980	2_16	FLD0208	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0208.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0208.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141469	SRP199742	new	PRJNA545266	SAMN11879981	2_25	FLD0217	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0217.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0217.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141470	SRP199742	new	PRJNA545266	SAMN11879982	2_26	FLD0218	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0218.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0218.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141442	SRP199742	new	PRJNA545266	SAMN11879983	2_27	FLD0219	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0219.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0219.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141440	SRP199742	new	PRJNA545266	SAMN11879984	2_28	FLD0220	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0220.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0220.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141455	SRP199742	new	PRJNA545266	SAMN11879985	1_1	FLD0329	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0329.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0329.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141454	SRP199742	new	PRJNA545266	SAMN11879986	1_2	FLD0330	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0330.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0330.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141438	SRP199742	new	PRJNA545266	SAMN11879987	1_3	FLD0331	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0331.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0331.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141439	SRP199742	new	PRJNA545266	SAMN11879988	1_4	FLD0332	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0332.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0332.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141466	SRP199742	new	PRJNA545266	SAMN11879989	1_13	FLD0341	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0341.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0341.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141417	SRP199742	new	PRJNA545266	SAMN11879990	1_14	FLD0342	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0342.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0342.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141443	SRP199742	new	PRJNA545266	SAMN11879991	1_15	FLD0343	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0343.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0343.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141450	SRP199742	new	PRJNA545266	SAMN11879992	1_16	FLD0344	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0344.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0344.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141432	SRP199742	new	PRJNA545266	SAMN11879993	1_25	FLD0353	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0353.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0353.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141433	SRP199742	new	PRJNA545266	SAMN11879994	1_26	FLD0354	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0354.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0354.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141445	SRP199742	new	PRJNA545266	SAMN11879995	1_27	FLD0355	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0355.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0355.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141451	SRP199742	new	PRJNA545266	SAMN11879996	1_28	FLD0356	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0356.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0356.000000000-BNNFL.s_1.r_2.fq.gz				
