accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR9090433	SRP198899	new	PRJNA543767	SAMN11783828	GE-P3C5-C	FLD0252	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0252.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0252.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090432	SRP198899	new	PRJNA543767	SAMN11783829	GE-P3C6-C	FLD0253	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0253.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0253.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090435	SRP198899	new	PRJNA543767	SAMN11783830	GE-P1B4-C	FLD0193	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0193.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0193.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090434	SRP198899	new	PRJNA543767	SAMN11783831	GE-P4B5-G	FLD0293	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0293.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0293.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090437	SRP198899	new	PRJNA543767	SAMN11783832	GE-P4B6-G	FLD0294	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0294.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0294.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090436	SRP198899	new	PRJNA543767	SAMN11783833	GE-P1C5-G	FLD0295	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0295.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0295.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090529	SRP198899	new	PRJNA543767	SAMN11783834	GE-P1C9-G	FLD0296	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0296.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0296.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090530	SRP198899	new	PRJNA543767	SAMN11783835	GE-P1E2-G	FLD0297	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0297.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0297.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090531	SRP198899	new	PRJNA543767	SAMN11783836	GE-P2D9-G	FLD0298	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0298.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0298.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090532	SRP198899	new	PRJNA543767	SAMN11783837	GE-P2F8-G	FLD0299	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0299.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0299.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090525	SRP198899	new	PRJNA543767	SAMN11783838	GE-P3C4-C	FLD0251	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0251.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0251.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090526	SRP198899	new	PRJNA543767	SAMN11783839	GE-P3B10-C	FLD0247	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0247.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0247.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090527	SRP198899	new	PRJNA543767	SAMN11783840	GE-P3B11-C	FLD0248	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0248.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0248.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090528	SRP198899	new	PRJNA543767	SAMN11783841	GE-P3C2-C	FLD0249	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0249.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0249.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090533	SRP198899	new	PRJNA543767	SAMN11783842	GE-P3C3-C	FLD0250	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0250.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0250.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090534	SRP198899	new	PRJNA543767	SAMN11783843	GE-P3B6-C	FLD0243	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0243.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0243.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090513	SRP198899	new	PRJNA543767	SAMN11783844	GE-P3B7-C	FLD0244	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0244.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0244.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090512	SRP198899	new	PRJNA543767	SAMN11783845	GE-P3B8-C	FLD0245	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0245.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0245.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090511	SRP198899	new	PRJNA543767	SAMN11783846	GE-P3B9-C	FLD0246	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0246.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0246.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090510	SRP198899	new	PRJNA543767	SAMN11783847	GE-P3B5-C	FLD0242	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0242.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0242.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090517	SRP198899	new	PRJNA543767	SAMN11783848	GE-P4C9-C	FLD0280	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0280.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0280.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090516	SRP198899	new	PRJNA543767	SAMN11783849	GE-P4D2-C	FLD0281	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0281.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0281.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090515	SRP198899	new	PRJNA543767	SAMN11783850	GE-P4C5-C	FLD0276	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0276.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0276.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090514	SRP198899	new	PRJNA543767	SAMN11783851	GE-P4C6-C	FLD0277	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0277.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0277.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090509	SRP198899	new	PRJNA543767	SAMN11783852	GE-P4C7-C	FLD0278	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0278.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0278.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090508	SRP198899	new	PRJNA543767	SAMN11783853	GE-P4C8-C	FLD0279	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0279.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0279.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090506	SRP198899	new	PRJNA543767	SAMN11783854	GE-P4B9-C	FLD0272	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0272.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0272.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090507	SRP198899	new	PRJNA543767	SAMN11783855	GE-P4C2-C	FLD0273	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0273.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0273.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090504	SRP198899	new	PRJNA543767	SAMN11783856	GE-P4C3-C	FLD0274	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0274.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0274.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090505	SRP198899	new	PRJNA543767	SAMN11783857	GE-P4C4-C	FLD0275	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0275.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0275.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090502	SRP198899	new	PRJNA543767	SAMN11783858	GE-P1B11-C	FLD0200	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0200.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0200.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090503	SRP198899	new	PRJNA543767	SAMN11783859	GE-P1C4-C	FLD0201	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0201.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0201.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090500	SRP198899	new	PRJNA543767	SAMN11783860	GE-P4B6-C	FLD0269	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0269.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0269.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090501	SRP198899	new	PRJNA543767	SAMN11783861	GE-P4B7-C	FLD0270	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0270.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0270.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090498	SRP198899	new	PRJNA543767	SAMN11783862	GE-P4B8-C	FLD0271	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0271.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0271.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090499	SRP198899	new	PRJNA543767	SAMN11783863	GE-P4B2-C	FLD0265	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0265.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0265.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090495	SRP198899	new	PRJNA543767	SAMN11783864	GE-P4B3-C	FLD0266	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0266.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0266.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090494	SRP198899	new	PRJNA543767	SAMN11783865	GE-P4B4-C	FLD0267	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0267.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0267.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090497	SRP198899	new	PRJNA543767	SAMN11783866	GE-P4B5-C	FLD0268	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0268.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0268.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090496	SRP198899	new	PRJNA543767	SAMN11783867	GE-P3D9-C	FLD0262	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0262.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0262.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090491	SRP198899	new	PRJNA543767	SAMN11783868	GE-P3D10-C	FLD0263	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0263.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0263.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090490	SRP198899	new	PRJNA543767	SAMN11783869	GE-P3D11-C	FLD0264	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0264.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0264.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090493	SRP198899	new	PRJNA543767	SAMN11783870	GE-P1E4-C	FLD0211	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0211.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0211.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090492	SRP198899	new	PRJNA543767	SAMN11783871	GE-P2D5-C	FLD0218	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0218.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0218.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090489	SRP198899	new	PRJNA543767	SAMN11783872	GE-P2D6-C	FLD0219	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0219.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0219.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090488	SRP198899	new	PRJNA543767	SAMN11783873	GE-P2D7-C	FLD0220	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0220.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0220.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090478	SRP198899	new	PRJNA543767	SAMN11783874	GE-P2D8-C	FLD0221	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0221.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0221.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090479	SRP198899	new	PRJNA543767	SAMN11783875	GE-P1E7-C	FLD0214	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0214.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0214.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090480	SRP198899	new	PRJNA543767	SAMN11783876	GE-P1E8-C	FLD0215	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0215.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0215.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090481	SRP198899	new	PRJNA543767	SAMN11783877	GE-P1E9-C	FLD0216	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0216.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0216.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090482	SRP198899	new	PRJNA543767	SAMN11783878	GE-P2D4-C	FLD0217	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0217.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0217.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090483	SRP198899	new	PRJNA543767	SAMN11783879	GE-P1E5-C	FLD0212	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0212.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0212.000000000-B4LYY.s_1.r_2.fq.gz				
