sample_id,amplicon_id,impact,impact_frequency
FLD0073,chr16_54931181,MediumImpact,56.44
FLD0073,chr16_54931181,WildType,17.42
FLD0074,chr16_54931181,LowImpact,74.68
FLD0075,chr16_54931181,LowImpact,47.18
FLD0075,chr16_54931181,HighImpact,28.71
FLD0076,chr16_54931181,LowImpact,67.5
FLD0076,chr16_54931181,MediumImpact,6.92
FLD0077,chr16_54931181,HighImpact,37.86
FLD0077,chr16_54931181,MediumImpact,15.1
FLD0078,chr16_54931181,HighImpact,32.87
FLD0078,chr16_54931181,LowImpact,47.13
FLD0079,chr16_54931181,LowImpact,59.230000000000004
FLD0079,chr16_54931181,WildType,18.47
FLD0081,chr16_54931181,LowImpact,5.29
FLD0081,chr16_54931181,HighImpact,70.6
FLD0082,chr16_54931181,HighImpact,31.43
FLD0083,chr16_54931181,LowImpact,53.55
FLD0083,chr16_54931181,HighImpact,7.47
FLD0083,chr16_54931181,WildType,11.81
FLD0084,chr16_54931181,HighImpact,72.3
FLD0086,chr16_54931181,LowImpact,38.129999999999995
FLD0086,chr16_54931181,MediumImpact,14.129999999999999
FLD0086,chr16_54931181,HighImpact,22.56
FLD0087,chr16_54931181,HighImpact,31.07
FLD0087,chr16_54931181,MediumImpact,12.04
FLD0088,chr16_54931181,HighImpact,8.69
FLD0088,chr16_54931181,WildType,37.37
FLD0088,chr16_54931181,MediumImpact,17.29
FLD0089,chr16_54931181,HighImpact,73.17
FLD0090,chr16_54931181,MediumImpact,81.16
FLD0091,chr16_54931181,MediumImpact,14.2
FLD0091,chr16_54931181,HighImpact,54.46
FLD0092,chr16_54931181,LowImpact,74.05
FLD0093,chr16_54931181,LowImpact,60.99
FLD0093,chr16_54931181,MediumImpact,6.34
FLD0094,chr16_54931181,HighImpact,33.51
FLD0095,chr16_54931181,HighImpact,12.51
FLD0095,chr16_54931181,MediumImpact,39.08
FLD0095,chr16_54931181,LowImpact,10.89
FLD0096,chr16_54931181,MediumImpact,71.9
